"Payment Selection","Payment Selection"
"Beneficiary  Information","Beneficiary  Information"
"Beneficiary Vendor","Beneficiary Vendor"
"Selected Amount(s) for Payment","Selected Amount(s) for Payment"
"Credit Amount","Credit Amount"
"Debit Amount","Debit Amount"
"Add/Remove Amount(s) for Payment","Add/Remove Amount(s) for Payment"
"Please Select Amount(s) to Add","Please Select Amount(s) to Add"
"Add Selected Amount(s) for Payment","Add Selected Amount(s) for Payment"
"Select Transaction Type","Select Transaction Type"
"Select Payment Method","Select Payment Method"
"Enter fee amount of transaction","Enter fee amount of transaction"
"Enter transaction id","Enter transaction id"
"Readonly field","Readonly field"
"Calculate Commission Fee","Calculate Commission Fee"
"Payment is  successfully saved","Payment is  successfully saved"
"Transactions Statistics","Estadísticas de transacciones"
"Total Received Amount","Total recibido"
"Total Pending Amount","Total pendiente"
"Pending Transfers","Transferencias pendientes"
"Transactions List","Lista de transacciones"
"Created At #","Creado el #"
"Description","Description"
"Transaction Id","Id de transacción"
"Fee","Fee"
"Net Amount","Monto Neto"
"Fields","Fields"
"Transaction Date","Transaction Date"
"Balance Amount","Balance Amount"
"Notes","Notes"
"Transaction Details","Transaction Details"
"Vendor","Vendedor"
"The setting information has been saved.","The setting information has been saved."
"Check/Money Order","Cheque/Efectivo"
"Cheque Payee Name","Titular de la cuenta"
"Bank Name","Nombre del banco"
"Bank Branch Number","Nùmero de sucursal bancaria"
"Bank Swift Code","Bank Swift Code"
"Bank Account Name","Bank Account Name"
"Bank Account Number","Bank Account Number"
"Tel","Tel"
"Representative","Representante"
"About Us","Acerca de"
"Vendor Since","Vendedor desde"
"Vendor Profile","Perfil de vendedor"
"There are no vendor available","No hay vendedores disponibles"
"Go to Shop","Ir a la tienda"
"There are no products from this Vendor","No hay productos de este vendedor"
"CsMarketplace Vendor Shops","CsMarketplace Vendor Shops"
"CsMarketplace Vendor Shop","CsMarketplace Vendor Shop"
"Vendor Products","Vendor Products"
"New values was missing.","New values was missing."
"Manage Vendor Attributes","Manage Vendor Attributes"
"Manage Attribute Group","Manage Attribute Group"
"Add Vendor Attribute","Add Vendor Attribute"
"Edit Vendor Attribute '%s'","Edit Vendor Attribute '%s'"
"New Vendor Attribute","New Vendor Attribute"
"Visible","Visible"
"Position","Position"
"Used in Vendor Profile Edit Form","Used in Vendor Profile Edit Form"
"If yes then it will shown as input in vendor profile edit form.","If yes then it will shown as input in vendor profile edit form."
"Position in Vendor Profile Edit Form","Position in Vendor Profile Edit Form"
"Position of attribute in Vendor Profile Edit Form","Position of attribute in Vendor Profile Edit Form"
